Title,Directed by,Produced by,Starring,Lead,Cinematography,Production companies,Distributed by,Release_date_dt,Release_month,Running_time_min,Country,Language,Budget,Box_office,Box_office_opening,Rating
Nicholas Nickleby,Douglas McGrath,"['John Hart', 'Jeffrey Sharp', 'Simon Channing Williams']","['Jamie Bell', 'Jim Broadbent', 'Tom Courtenay', 'Alan Cumming', 'Edward Fox', 'Romola Garai', 'Anne Hathaway', 'Barry Humphries', 'Charlie Hunnam', 'Nathan Lane', 'Christopher Plummer', 'Timothy Spall', 'Juliet Stevenson']",Jamie Bell,Dick Pope,"['Hart-Sharp Entertainment', 'Potboiler Productions', 'United Artists']","['20th Century Fox', '(United Kingdom)', 'MGM Distribution Co.', '(United States)']",2002-12-27,12.0,132.0,,English,10000000.0,3700000.0,42864.0,PG
Night at the Golden Eagle,Adam Rifkin,"['Steve Bing', 'Adam Rifkin']","['Donnie Mantemarano', 'Vinny Argiro', 'Natasha Lyonne']",Donnie Mantemarano,Francesco Varese,['Shangri-La Entertainment'],Keystone Entertainment,,,87.0,United States,English,,,7380.0,R
On_Line,Jed Weintrob,,"['Josh Hamilton', 'Harold Perrineau', 'Vanessa Ferlito', 'Monique Coleman', 'Eric Millegan']",Josh Hamilton,,,"['Indican Pictures', 'MGM']",,,97.0,United States,English,,,25658.0,Unknown
One Hour Photo,Mark Romanek,"['Pamela Koffler', 'Christine Vachon', 'Stan Wlodkowski']","['Robin Williams', 'Connie Nielsen', 'Michael Vartan', 'Gary Cole', 'Eriq La Salle']",Robin Williams,Jeff Cronenweth,"['Catch 23 Entertainment', 'Killer Films', 'John Wells Productions']",Fox Searchlight Pictures,2002-01-13,1.0,96.0,United States,English,12000000.0,52200000.0,321515.0,R
Orange County,Jake Kasdan,Scott Rudin,"['Colin Hanks', 'Jack Black', ""Catherine O'Hara"", 'Schuyler Fisk', 'John Lithgow', 'Lily Tomlin']",Colin Hanks,Greg Gardiner,"['MTV Films', 'Scott Rudin Productions']",Paramount Pictures,2002-01-11,1.0,82.0,United States,English,18000000.0,43300000.0,15053226.0,PG-13
Paid in Full,Charles Stone III,"['Damon Dash', 'Jay-Z', 'Brett Ratner', 'Azie Faison', 'Steve Rifkind']","['Wood Harris', 'Mekhi Phifer', ""Cam'ron""]",Wood Harris,Paul Sarossy,"['Roc-A-Fella Films', 'Loud Films', 'Rat Entertainment', 'Dimension Films']",Miramax Films,2002-10-25,10.0,98.0,United States,English,,3100000.0,1328789.0,R
Panic Room,David Fincher,"['Gavin Polone', 'Judy Hofflund', 'David Koepp', 'Ceán Chaffin']","['Jodie Foster', 'Forest Whitaker', 'Dwight Yoakam', 'Jared Leto', 'Kristen Stewart']",Jodie Foster,"['Conrad W. Hall', 'Darius Khondji']","['Columbia Pictures', 'Hofflund/Polone', 'Indelible Pictures']",Sony Pictures Releasing,2002-03-29,3.0,112.0,United States,English,48000000.0,197100000.0,30056751.0,R
Path to War,John Frankenheimer,,"['Michael Gambon', 'Donald Sutherland', 'Alec Baldwin', 'Bruce McGill', 'James Frain', 'Felicity Huffman', 'Frederic Forrest', 'John Aylward', 'Philip Baker Hall', 'Tom Skerritt', 'Diana Scarwid', 'Sarah Paulson', 'Gerry Becker', 'Peter Jacobson']",Michael Gambon,"['Stephen Goldblatt', 'Nancy Schreiber']","['Avenue Pictures', 'Edgar J. Scherick Associates', 'HBO']",,,,165.0,,,,,2238723.0,PG-13
Personal Velocity: Three Portraits,Rebecca Miller,"['Alexis Alexanian', 'Caroline Kaplan', 'Jonathan Sehring', 'John Sloss']","['Kyra Sedgwick', 'Parker Posey', 'Fairuza Balk']",Kyra Sedgwick,Ellen Kuras,['United Artists'],MGM Distribution Co.,,,86.0,United States,English,125000.0,,29943.0,R
Pinocchio,Roberto Benigni,Gianluigi Braschi,"['Roberto Benigni', 'Nicoletta Braschi', 'Mino Bellei', 'Carlo Giuffrè', 'Peppe Barra', 'Franco Javarone', 'Max Cavallari', 'Bruno Arena', 'Corrado Pani', 'Kim Rossi Stuart', 'Luis Molteni', 'Alessandro Bergonzoni']",Roberto Benigni,Dante Spinotti,"['Melampo Cinematografica', 'Cecchi Gori Group']",Medusa Distribuzione,2002-10-11,10.0,107.0,Italy,Italian,40000000.0,41300000.0,272109.0,PG-13
Poolhall Junkies,Mars Callahan,"Karen Beninati, Paul Brooks, Carol Gillson, John J. Hermansen, David Kronemeyer, Nancy Lanham, Vincent Newman, Scott Niemeyer, Joey Nittolo, David Peters, Tucker Tooley, Norm Waitt","['Mars Callahan', 'Chazz Palminteri', 'Rod Steiger', 'Michael Rosenbaum', 'Rick Schroder', 'Alison Eastwood', 'Christopher Walken']",Mars Callahan,Robert Morris,['Gold Circle Films'],Samuel Goldwyn Films,2002-06-08,6.0,94.0,,English,4000000.0,,301856.0,R
